240001	8.15	8.28	8.21
240002	8.73	9.33	9.01
240004	7.56	7.43	7.5
240007	7.44	7.22	7.34
240008	6.58	6.89	6.72
240010	8.13	7.39	7.79
240013	5.77	5.96	5.86
240015	8.31	7.8	8.07
240018	9.29	9.74	9.5
240019	6.62	6.85	6.72
240022	7.54	7.74	7.63
240023	8.77	8.41	8.6
240026	6.81	7.59	7.17
240027	7.63	8.09	7.85
240028	7.21	6.89	7.06
240029	4.81	2.5	3.68
240030	6.08	6.35	6.2
240032	8.65	7.63	8.17
240037	8.83	9.33	9.06
240040	6.65	6.83	6.73
240042	7.77	8.59	8.15
240043	9.83	9.74	9.79
240046	7.73	7.26	7.51
240048	7.6	7.24	7.43
240050	6.83	6.96	6.89
240052	6.67	6.2	6.45
240054	7.35	8.22	7.76
240055	8.29	8.83	8.54
240057	2.37	5.29	3.91
240059	7.38	7.57	7.47
240060	5.56	6.79	6.17
240063	7.46	6.83	7.16
240067	6.4	7.02	6.69
240069	8.58	8.35	8.47
240070	3.67	3.72	3.69
240073	7.21	7.28	7.24
240074	8.25	8.26	8.26
240076	7.81	8.57	8.16
240077	7.73	8.07	7.89
240079	7.02	7.85	7.41
240080	6.92	6.8	6.87
240082	4.98	5.87	5.4
240083	4.56	4.79	4.67
240085	2.98	4.48	3.68
240086	7	7.26	7.12
240088	7.73	8.33	8.01
240089	7.75	6.98	7.39
240090	6.37	6.7	6.52
240093	5.1	5.89	5.47
240097	6.12	6.91	6.49
240098	6.08	5.78	5.94
240101	6.73	8.13	7.39
240102	7.33	7.15	7.24
240103	10	10	10
240104	7.06	7.61	7.32
240105	7.5	7.41	7.46
240107	9.23	7.85	8.58
240108	5.48	6	5.72
240109	6.25	6.46	6.35
240110	7.02	7.96	7.46
240111	9	7.57	8.33
240112	9.06	9.22	9.13
240113	6.96	7.02	6.99
240114	6.77	7.35	7.04
240115	7.27	8.22	7.71
240116	6.81	6.78	6.8
240121	8.63	8.7	8.66
240122	2.63	5.09	3.9
240124	7.02	8.22	7.58
240126	6.35	4.74	5.59
240128	8.4	8.93	8.65
240129	7.17	7.04	7.11
240132	6.08	6.11	6.09
240133	2.98	3.21	3.1
240135	5.5	4.63	5.09
240136	6.75	6.48	6.62
240137	9.54	9.72	9.62
240139	4.9	5.48	5.19
240140	5.23	6.98	6.05
240142	6.15	7.13	6.61
240143	7	6.28	6.42
240144	6.77	7.48	7.1
240145	3.6	4.71	4.15
240146	8.42	7.59	8.03
240147	8.4	8.78	8.58
240148	9	7.41	7.72
240149	10	9.72	9.87
240152	8.21	8.37	8.29
240153	5.48	6.27	5.88
240154	6.88	7.02	6.95
240155	7.48	8.04	7.74
240156	8.33	8.37	8.35
240157	6.87	8	7.4
240160	6.44	7.35	6.87
240162	5.15	4.46	4.83
240163	7.54	6.7	7.14
240164	8.08	7.46	7.79
240165	9	7.57	7.84
240169	5.71	5.7	5.7
240172	8.85	8.72	8.79
240175	7.77	8.39	8.06
240180	7.08	6.33	6.72
240181	8.79	9.09	8.93
240183	7.79	6.93	7.39
240186	7	7.48	7.22
240187	7.71	7.63	7.67
240192	8.87	8.54	8.71
240194	7.5	6.96	7.24
240195	4.83	5.37	5.08
240196	9.63	9.33	9.49
240197	7.9	7.37	7.65
240198	6.17	6.07	6.12
240199	5.77	7.54	6.6
240200	8.79	9.24	9
240201	6.02	6.74	6.37
240204	6.08	6.93	6.48
240205	3.92	5.26	4.55
240208	8.37	8.28	8.33
240209	7.08	7.63	7.34
240211	4.04	4.52	4.28
240213	5.6	7.02	6.27
240214	4.92	6.02	5.44
240218	8.29	6.98	7.67
240225	6.44	7.61	6.99
240227	6.77	6.37	6.58
240231	6.79	7.76	7.24
240232	6.5	6.59	6.54
240233	6.38	6.33	6.36
240235	7.69	7.76	7.72
240236	8.15	9.02	8.56
240239	6.79	6.48	6.64
240240	5.46	4.98	5.23
240241	9.12	9.5	9.3
240242	9.19	9.15	9.17
240243	8.98	8.04	8.54
240244	7.9	8.59	8.22
240246	9.52	9.35	9.44
240248	3.38	3.67	3.52
240250	6.15	6.93	6.52
240251	5.31	2.87	4.16
240252	8.19	7.67	7.95
240254	3.58	2.79	3.18
240257	7.33	8.11	7.69
240261	6.5	7.26	6.86
240262	5.63	5.7	5.66
240267	6.29	7.28	6.76
240268	9.4	10	9.68
240269	5.17	4.22	4.72
240271	7.35	8.43	7.86
240272	5.06	5.28	5.16
240273	4.67	5.92	5.3
240274	0.69	2.54	1.62
240275	4.02	2.37	3.24
240276	6.65	7.37	6.99
240277	6.21	6.24	6.22
240279	4.75	5.58	5.16
240281	5	7.13	6.72
240286	3.56	4.83	4.19
240287	6.12	7	6.53
240288	5.75	5.96	5.85
240289	5.29	6.17	5.73
240290	8.33	8.72	8.51
240291	8.38	9.35	8.84
240292	7.71	6.8	7.29
240293	4.81	7.21	6.01
240294	5.62	6.09	5.84
240295	7.19	7.13	7.16
240296	9.27	9.46	9.36
240297	5.58	6.2	5.87
240299	8.31	8.5	8.4
240302	2.9	2.74	2.83
240303	5.23	3.91	4.61
240305	6.15	4.63	5.44
240306	7.94	6.46	7.24
240308	5.46	7.19	6.33
240310	7.02	7.61	7.3
240315	7.42	7.26	7.35
240317	8.25	8.28	8.27
240320	7.69	8.09	7.88
240321	4.06	4.22	4.13
240323	5.65	4.59	5.15
240324	8.73	8.04	8.41
240326	6.4	5.59	6.02
