roll no | spi_1  |  spi_2  |  cpi  |
241045  |  8.48  |  9.21  |  8.87  | 
241095  |  9.24  |  8.54  |  8.87  | 
240735  |  9.07  |  8.67  |  8.86  | 
240615  |  8.00  |  9.60  |  8.85  | 
240291  |  8.38  |  9.35  |  8.84  | 
241140  |  8.61  |  9.02  |  8.83  | 
240117  |  9.00  |  8.61  |  8.82  | 
240981  |  9.07  |  8.58  |  8.81  | 
241078  |  9.15  |  8.48  |  8.81  | 
241102  |  8.50  |  9.08  |  8.81  | 
241107  |  8.57  |  9.02  |  8.81  | 
240611  |  8.91  |  8.69  |  8.80  | 
241027  |  8.80  |  8.79  |  8.80  | 
240172  |  8.85  |  8.72  |  8.79  | 
240868  |  8.43  |  9.10  |  8.79  | 
240567  |  8.70  |  8.85  |  8.78  | 
240443  |  8.39  |  9.10  |  8.77  | 
240761  |  8.54  |  8.96  |  8.77  | 
241044  |  8.35  |  9.13  |  8.77  | 
240576  |  8.85  |  8.67  |  8.76  | 
241010  |  9.02  |  8.52  |  8.76  | 
240253  |  8.81  |  8.67  |  8.74  | 
240455  |  8.98  |  8.54  |  8.74  | 
240588  |  8.63  |  8.85  |  8.74  | 
240740  |  8.87  |  8.63  |  8.74  | 
241040  |  8.20  |  9.21  |  8.73  | 
241117  |  8.37  |  9.04  |  8.72  | 
240192  |  8.87  |  8.54  |  8.71  | 
240402  |  8.63  |  8.80  |  8.71  | 
240687  |  8.63  |  8.79  |  8.71  | 
241054  |  8.30  |  9.08  |  8.71  | 
240490  |  8.31  |  9.11  |  8.68  | 
240450  |  8.81  |  8.54  |  8.68  | 
240960  |  8.76  |  8.62  |  8.68  | 
240506  |  9.19  |  8.09  |  8.67  | 
240121  |  8.63  |  8.70  |  8.66  | 
240476  |  9.04  |  8.24  |  8.66  | 
240128  |  8.40  |  8.93  |  8.65  | 
240715  |  8.65  |  8.65  |  8.65  | 
240870  |  8.67  |  8.64  |  8.65  | 
240459  |  8.62  |  8.65  |  8.63  | 
240530  |  8.71  |  8.54  |  8.63  | 
240130  |  8.75  |  8.50  |  8.63  | 
240340  |  8.08  |  9.15  |  8.63  | 
240652  |  8.39  |  8.85  |  8.63  | 
240798  |  9.04  |  8.27  |  8.63  | 
241023  |  8.77  |  8.46  |  8.61  | 
240263  |  8.31  |  8.96  |  8.61  | 
240785  |  8.63  |  8.60  |  8.61  | 
240023  |  8.77  |  8.41  |  8.60  | 
240666  |  8.26  |  8.90  |  8.60  | 
240940  |  8.22  |  8.92  |  8.59  | 
240107  |  9.23  |  7.85  |  8.58  | 
240147  |  8.40  |  8.78  |  8.58  | 
240236  |  8.15  |  9.02  |  8.56  | 
240168  |  8.35  |  8.80  |  8.56  | 
240613  |  8.63  |  8.50  |  8.56  | 
240857  |  8.96  |  8.21  |  8.56  | 
241000  |  8.35  |  8.75  |  8.56  | 
240970  |  8.09  |  8.96  |  8.55  | 
241034  |  8.59  |  8.52  |  8.55  | 
240055  |  8.29  |  8.83  |  8.54  | 
240243  |  8.98  |  8.04  |  8.54  | 
240849  |  7.98  |  9.04  |  8.54  | 
240882  |  8.76  |  8.33  |  8.53  | 
240982  |  8.98  |  8.10  |  8.53  | 
240421  |  8.46  |  8.59  |  8.52  | 
240706  |  8.17  |  8.83  |  8.52  | 
240290  |  8.33  |  8.72  |  8.51  | 
240368  |  8.37  |  8.67  |  8.51  | 
240885  |  8.46  |  8.56  |  8.51  | 
240355  |  8.37  |  8.63  |  8.51  | 
241212  |  8.11  |  8.87  |  8.51  | 
240356  |  8.33  |  8.63  |  8.49  | 
240056  |  7.96  |  9.07  |  8.48  | 
240336  |  9.08  |  7.80  |  8.48  | 
240733  |  8.28  |  8.65  |  8.48  | 
240876  |  7.80  |  9.08  |  8.48  | 
240069  |  8.58  |  8.35  |  8.47  | 
240203  |  8.27  |  8.70  |  8.47  | 
240573  |  8.43  |  8.50  |  8.47  | 
241192  |  8.39  |  8.54  |  8.47  | 
240519  |  8.29  |  8.65  |  8.46  | 
240638  |  7.94  |  8.92  |  8.44  | 
240388  |  8.38  |  8.48  |  8.43  | 
240631  |  8.35  |  8.50  |  8.43  | 
241176  |  0.00  |  8.43  |  8.43  | 
240705  |  8.81  |  7.98  |  8.42  | 
240784  |  8.35  |  8.48  |  8.42  | 
240999  |  8.35  |  8.48  |  8.42  | 
240324  |  8.73  |  8.04  |  8.41  | 
240330  |  8.73  |  8.04  |  8.41  | 
240234  |  8.23  |  8.61  |  8.41  | 
240632  |  8.52  |  8.31  |  8.41  | 
240299  |  8.31  |  8.50  |  8.40  | 
240739  |  8.04  |  8.71  |  8.40  | 
240874  |  8.28  |  8.48  |  8.39  | 
241048  |  8.02  |  8.71  |  8.39  | 
240518  |  7.73  |  9.11  |  8.38  | 
240721  |  8.10  |  8.64  |  8.38  | 
240346  |  8.04  |  8.76  |  8.38  | 
240587  |  8.02  |  8.67  |  8.37  | 
240602  |  8.15  |  8.56  |  8.37  | 
240871  |  8.37  |  8.37  |  8.37  | 
240902  |  8.07  |  8.63  |  8.37  | 
240532  |  8.31  |  8.41  |  8.36  | 
240391  |  8.60  |  8.09  |  8.36  | 
240589  |  7.61  |  9.02  |  8.36  | 
240747  |  8.50  |  8.23  |  8.36  | 
240907  |  8.37  |  8.35  |  8.36  | 
240156  |  8.33  |  8.37  |  8.35  | 
240442  |  7.92  |  8.83  |  8.35  | 
241116  |  7.80  |  8.83  |  8.35  | 
240546  |  8.63  |  8.00  |  8.34  | 
240025  |  8.52  |  8.13  |  8.34  | 
240111  |  9.00  |  7.57  |  8.33  | 
240208  |  8.37  |  8.28  |  8.33  | 
240316  |  8.31  |  8.35  |  8.33  | 
240367  |  7.50  |  9.04  |  8.32  | 
240575  |  8.65  |  8.21  |  8.32  | 
241013  |  8.43  |  8.21  |  8.32  | 
241200  |  7.43  |  9.10  |  8.32  | 
240220  |  8.06  |  8.57  |  8.30  | 
240467  |  8.35  |  8.25  |  8.30  | 
240645  |  7.78  |  8.75  |  8.30  | 
240755  |  8.39  |  8.21  |  8.30  | 
240975  |  7.98  |  8.58  |  8.30  | 
240988  |  8.25  |  8.34  |  8.30  | 
240152  |  8.21  |  8.37  |  8.29  | 
240630  |  7.80  |  8.71  |  8.29  | 
240719  |  8.43  |  8.15  |  8.29  | 
241121  |  8.65  |  7.96  |  8.29  | 
241128  |  8.24  |  8.33  |  8.29  | 
240071  |  7.75  |  8.87  |  8.28  | 
240867  |  7.76  |  8.73  |  8.28  | 
240317  |  8.25  |  8.28  |  8.27  | 
240401  |  8.21  |  8.33  |  8.27  | 
240167  |  8.10  |  8.46  |  8.27  | 
240074  |  8.25  |  8.26  |  8.26  | 
240058  |  8.29  |  8.22  |  8.26  | 
240061  |  8.13  |  8.37  |  8.24  | 
240723  |  8.73  |  7.78  |  8.24  | 
240926  |  7.72  |  8.69  |  8.23  | 
241162  |  7.48  |  8.90  |  8.23  | 
240244  |  7.90  |  8.59  |  8.22  | 
240437  |  8.48  |  8.00  |  8.22  | 
240722  |  8.09  |  8.35  |  8.22  | 
241005  |  7.93  |  8.48  |  8.22  | 
240001  |  8.15  |  8.28  |  8.21  | 
240081  |  8.25  |  8.17  |  8.21  | 
240599  |  7.85  |  8.54  |  8.21  | 
241026  |  8.11  |  8.31  |  8.21  | 
240053  |  8.56  |  7.80  |  8.20  | 
240869  |  8.15  |  8.26  |  8.20  | 
240649  |  7.98  |  8.38  |  8.19  | 
240352  |  7.85  |  8.48  |  8.18  | 
240815  |  8.15  |  8.21  |  8.18  | 
241096  |  7.87  |  8.46  |  8.18  | 
240032  |  8.65  |  7.63  |  8.17  | 
240076  |  7.81  |  8.57  |  8.16  | 
240210  |  7.67  |  8.72  |  8.16  | 
240779  |  8.39  |  7.96  |  8.16  | 
240810  |  8.00  |  8.31  |  8.16  | 
240042  |  7.77  |  8.59  |  8.15  | 
240094  |  8.15  |  0.00  |  8.15  | 
240173  |  8.00  |  8.33  |  8.15  | 
240915  |  8.17  |  8.13  |  8.15  | 
240787  |  7.37  |  8.85  |  8.15  | 
241152  |  7.54  |  8.69  |  8.15  | 
241202  |  7.59  |  8.65  |  8.15  | 
240369  |  8.17  |  8.12  |  8.14  | 
240457  |  8.50  |  7.83  |  8.14  | 
241210  |  8.15  |  8.13  |  8.14  | 
241049  |  7.76  |  8.46  |  8.13  | 
240917  |  7.87  |  8.35  |  8.12  | 
