roll no | spi_1  |  spi_2  |  cpi  |
240768  |  9.65  |  9.33  |  9.48  | 
240606  |  8.74  |  9.31  |  9.04  | 
240813  |  8.70  |  9.31  |  9.02  | 
241056  |  9.07  |  9.31  |  9.19  | 
240551  |  9.94  |  9.30  |  9.64  | 
240863  |  8.41  |  9.29  |  8.88  | 
240593  |  8.50  |  9.26  |  8.89  | 
240712  |  8.76  |  9.25  |  9.02  | 
240763  |  9.13  |  9.25  |  9.19  | 
240900  |  8.63  |  9.25  |  8.96  | 
240200  |  8.79  |  9.24  |  9.00  | 
240024  |  9.12  |  9.24  |  9.17  | 
240889  |  9.30  |  9.23  |  9.27  | 
240112  |  9.06  |  9.22  |  9.13  | 
240020  |  8.65  |  9.22  |  8.92  | 
240068  |  8.94  |  9.22  |  9.07  | 
240585  |  8.70  |  9.21  |  8.97  | 
241040  |  8.20  |  9.21  |  8.73  | 
241045  |  8.48  |  9.21  |  8.87  | 
240533  |  9.17  |  9.20  |  9.18  | 
240944  |  8.54  |  9.19  |  8.89  | 
240351  |  9.56  |  9.17  |  9.38  | 
240385  |  9.02  |  9.17  |  9.09  | 
240242  |  9.19  |  9.15  |  9.17  | 
240340  |  8.08  |  9.15  |  8.63  | 
240660  |  9.07  |  9.15  |  9.11  | 
240991  |  8.91  |  9.15  |  9.04  | 
240717  |  8.78  |  9.13  |  8.97  | 
240734  |  8.85  |  9.13  |  9.00  | 
241044  |  8.35  |  9.13  |  8.77  | 
241137  |  9.43  |  9.13  |  9.28  | 
241158  |  8.63  |  9.13  |  8.90  | 
240759  |  9.41  |  9.12  |  9.26  | 
240489  |  9.71  |  9.11  |  9.43  | 
240490  |  8.31  |  9.11  |  8.68  | 
240518  |  7.73  |  9.11  |  8.38  | 
240075  |  9.48  |  9.11  |  9.31  | 
240443  |  8.39  |  9.10  |  8.77  | 
240563  |  9.57  |  9.10  |  9.32  | 
240868  |  8.43  |  9.10  |  8.79  | 
241200  |  7.43  |  9.10  |  8.32  | 
240181  |  8.79  |  9.09  |  8.93  | 
240876  |  7.80  |  9.08  |  8.48  | 
241054  |  8.30  |  9.08  |  8.71  | 
241102  |  8.50  |  9.08  |  8.81  | 
241132  |  9.17  |  9.08  |  9.12  | 
240380  |  8.69  |  9.07  |  8.87  | 
240508  |  8.87  |  9.07  |  8.96  | 
240056  |  7.96  |  9.07  |  8.48  | 
240584  |  8.83  |  9.06  |  8.95  | 
240635  |  8.87  |  9.06  |  8.97  | 
240789  |  9.29  |  9.06  |  9.12  | 
241130  |  9.26  |  9.06  |  9.15  | 
240367  |  7.50  |  9.04  |  8.32  | 
240590  |  8.72  |  9.04  |  8.89  | 
240849  |  7.98  |  9.04  |  8.54  | 
241117  |  8.37  |  9.04  |  8.72  | 
240236  |  8.15  |  9.02  |  8.56  | 
